idA	idB	O	OHA	OHB	OLA	OLB	K
73649	12222	N	2	3	248	248	3
73649	55811	N	100	101	150	150	2
73649	45568	N	176	177	74	74	1
69298	33089	N	-213	-215	33	33	0
69298	72063	N	-167	-165	83	83	1
69298	5799	N	-165	-162	86	86	1
69298	48482	N	-24	-21	227	227	3
69298	43735	N	19	21	229	229	4
69298	25006	N	-224	-221	27	27	0
69298	41924	N	-204	-201	47	47	0
69298	76162	N	-153	-151	97	97	1
69298	84763	N	7	9	241	241	0
69298	100935	N	-30	-27	221	221	3
69298	86858	N	19	21	229	229	3
69298	20341	N	105	106	143	143	2
69298	99761	N	-165	-162	86	86	1
97526	101966	N	197	198	53	53	0
33089	70373	N	76	80	170	170	0
33089	30669	N	220	224	26	26	0
33089	72063	N	46	50	200	200	4
33089	1179	N	-182	-177	69	69	1
33089	61072	N	-182	-177	69	69	1
33089	41924	N	9	14	237	237	3
33089	84763	N	220	224	26	26	0
33089	87140	N	-136	-131	115	115	1
12894	2831	N	201	200	49	49	0
12894	46376	N	0	0	250	250	0
12894	8710	N	155	155	95	95	1
12894	36112	N	126	125	124	124	0
12894	10928	N	-145	-145	105	105	0
12894	20111	N	137	130	113	113	0
12894	55470	N	201	200	49	49	0
12894	102740	N	47	48	203	203	0
98807	85802	N	46	46	205	205	4
98807	98826	N	-182	-182	69	69	0
98807	1050	N	144	144	107	107	2
98807	12222	N	116	116	135	135	2
98807	80079	N	-169	-169	82	82	0
98807	46853	N	0	0	251	251	4
98807	55811	N	214	214	37	37	0
38406	3486	N	-120	-120	131	131	0
38406	59735	N	-3	-4	247	247	1
38406	85802	N	-193	-193	58	58	0
38406	28381	N	156	156	95	95	0
38406	69169	N	-86	-87	164	164	1
38406	104758	N	-120	-120	131	131	1
38406	96202	N	0	0	251	251	3
38406	1050	N	-95	-95	156	156	1
38406	67648	N	212	212	39	39	0
38406	12222	N	-123	-123	128	128	2
38406	55811	N	-25	-25	226	226	3
38406	45568	N	51	51	200	200	2
94207	2831	N	-156	-157	93	93	0
94207	20111	N	-220	-227	23	23	0
94207	55470	N	-156	-157	93	93	0
94207	12877	N	-45	-45	205	205	0
