idA	idB	O	OHA	OHB	OLA	OLB	K
77832	15385	N	165	163	86	86	0
87495	78529	N	107	107	144	144	0
87495	68577	N	154	154	97	97	0
87495	40623	N	171	169	80	80	0
87495	49989	N	154	154	97	97	1
87495	48577	N	155	154	96	96	0
75968	103419	N	84	84	167	167	1
75968	94619	N	-53	-54	197	197	0
75968	53933	N	-32	-34	217	217	1
75968	85949	N	-1	-2	249	249	0
75968	89732	N	-29	-30	221	221	2
75968	67785	N	-52	-53	198	198	2
75968	33793	N	84	84	167	167	1
75968	69849	N	118	116	133	133	0
41945	72345	N	-97	-100	151	151	0
41945	70208	N	-100	-101	150	150	0
64614	53339	N	103	101	147	147	0
64614	93980	N	9	10	241	241	2
64614	96432	N	147	143	103	103	1
64614	50369	N	-77	-76	174	174	1
64614	37119	N	70	67	180	180	1
64614	93593	N	-92	-91	159	159	1
64614	19408	N	-43	-42	208	208	1
64614	21943	N	65	65	185	185	2
56578	35624	N	82	82	169	169	1
56578	39320	N	-90	-90	161	161	0
56578	103653	N	-123	-123	128	128	1
56578	92027	N	-168	-168	83	83	0
56578	70304	N	-157	-157	94	94	0
56578	5749	N	-53	-54	197	197	0
56578	1310	N	-73	-73	178	178	1
56578	77254	N	-60	-60	191	191	0
53339	93980	N	-94	-91	157	157	1
53339	51785	N	103	106	145	145	1
53339	1849	N	147	150	101	101	1
53339	96432	N	44	42	204	204	2
53339	37119	N	-33	-34	214	214	0
53339	19408	N	-146	-143	105	105	0
53339	21943	N	-38	-36	212	212	0
18114	25000	N	-114	-113	136	136	1
18114	63223	N	-147	-145	104	104	1
36690	84546	N	129	129	122	122	0
68175	79442	N	122	122	129	129	1
68175	29414	N	-46	-46	205	205	0
35624	7209	N	-157	-158	93	93	1
35624	44939	N	91	91	160	160	1
35624	45365	N	-155	-155	96	96	1
35624	69842	N	-155	-155	96	96	1
35624	5749	N	-135	-136	115	115	1
35624	76040	N	-157	-158	93	93	1
35624	25923	N	-155	-155	96	96	1
35624	1310	N	-155	-155	96	96	1
35624	77254	N	-142	-142	109	109	1
11376	86443	N	-143	-95	108	108	0
2537	74316	N	117	118	132	132	1
2537	73605	N	-2	0	249	249	1
2537	104275	N	114	112	135	135	0
2537	29779	N	-2	0	249	249	1
2537	31383	N	75	77	174	174	2
2537	6892	N	119	117	130	130	1
2537	72494	N	-48	-48	201	201	0
2537	6721	N	71	73	178	178	1
2537	67365	N	112	114	137	137	0
88226	34340	N	-163	-163	88	88	0
69934	58469	N	-122	-122	128	128	1
69934	84018	N	-111	-110	140	140	0
28759	75768	N	35	35	216	216	0
28759	23115	N	-21	-22	229	229	1
28759	67005	N	-99	-100	151	151	1
28759	106899	N	37	37	214	214	0
28759	14034	N	-30	-31	220	220	2
28759	63932	N	143	143	108	108	0
28759	6741	N	105	105	146	146	0
28759	79926	N	-89	-89	162	162	1
28759	67563	N	0	0	251	251	0
28759	9183	N	-163	-163	88	88	1
28759	58623	N	-41	-41	210	210	1
28759	50806	N	71	71	180	180	0
28759	3308	N	67	67	184	184	0
66600	73322	N	19	22	229	229	1
66600	49523	N	88	89	160	160	0
75768	23115	N	-56	-57	194	194	0
75768	67005	N	-134	-135	116	116	0
75768	106899	N	2	2	249	249	0
75768	14034	N	-65	-66	185	185	1
75768	63932	N	108	108	143	143	0
75768	6741	N	70	70	181	181	0
75768	79926	N	-124	-124	127	127	0
75768	78520	N	-122	-122	129	129	1
75768	67563	N	-35	-35	216	216	0
75768	67895	N	164	163	87	87	0
75768	58623	N	-76	-76	175	175	0
75768	50806	N	36	36	215	215	0
75768	3308	N	32	32	219	219	0
10722	2330	N	-128	-127	122	122	1
10722	85929	N	-71	-70	179	179	2
57246	94541	N	-27	-27	224	224	2
57246	83425	N	-56	-56	195	195	1
57246	18168	N	46	45	205	205	2
57246	97544	N	-131	-132	119	119	0
57246	48525	N	-88	-88	163	163	0
34065	51514	N	163	164	87	87	1
52060	31807	N	39	38	212	212	0
52060	69772	N	74	74	177	177	1
61361	11304	N	37	36	214	214	0
61361	96280	N	22	21	229	229	0
61361	32647	N	74	73	177	177	0
61361	2281	N	15	14	236	236	1
